DF4_Arms_Warrior,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
auto_attack_mh,25685,0.059,183.3,1.96s,42028.0,21969.0,Direct,183.3,28398.0,57091.0,42028.0,0.475,
Broodkeeper's Blaze,6884,0.016,16.8,17.09s,122693.0,0.0,Periodic,45.1,31083.0,62164.0,45789.0,0.473,0.301
Charge (_impact),26,0,1.0,0.00s,7583.0,0.0,Direct,1,5348.0,10697.0,7584.0,0.418,
Colossus Smash,9567,0.022,14.1,21.90s,202875.0,202589.0,Direct,14.1,131036.0,275029.0,203114.0,0.501,
Deep Wounds,17120,0.039,102.7,2.90s,49963.0,0.0,Periodic,149,20702.0,44735.0,34453.0,0.572,0.987
Execute (_damage),73308,0.169,65.4,4.35s,336132.0,0.0,Direct,65.4 (65.4),183680.0,444749.0,336131.0,58.4% (58.4%),
Fatal Mark (fatality),10279,0.024,1.0,0.00s,3084597.0,0.0,Direct,1,3084626.0,0.0,3084626.0,0,
Igira's Cruel Nightmare,0 (8764),0.0% (2.0%),8.3,32.72s,316669.0,0.0,,,,,,,
    Flaying Torment,8764,0.02,8.3,32.72s,316669.0,0.0,Periodic,23.5,112070.0,0.0,112070.0,0,0.156
Mark of Fyr'alath,5598,0.013,637.3,0.58s,2635.0,0.0,Periodic,145,7860.0,15718.0,11579.0,0.473,0.976
Mortal Strike,122037,0.281,88.6,3.36s,413028.0,416248.0,Direct,88.6,231177.0,525574.0,413029.0,0.618,
Overpower,45193 (63597),10.4% (14.7%),83.6,3.46s,228127.0,231018.0,Direct,83.6 (167.3),92115.0,208149.0,162118.0,60.3% (60.3%),
    Dreadnaught,18403,0.042,83.6,3.46s,66008.0,0.0,Direct,83.6,37499.0,84728.0,66008.0,0.604,
Rage of Fyr'alath (_channel),0 (16329),0.0% (3.7%),3.0,120.28s,1615483.0,833646.0,,,,,,,
    Rage of Fyr'alath,9805,0.022,17.9,15.16s,162041.0,0.0,Direct,17.9,111837.0,223199.0,162044.0,0.451,
    Explosive Rage,6524,0.015,3.0,120.51s,645555.0,0.0,Direct,3,447062.0,892804.0,649143.0,0.453,
Rend,18568,0.043,34.1,8.86s,163391.0,0.0,Periodic,148.1,22616.0,48864.0,37588.0,0.57,0.979
Sidearm,3016,0.007,36.7,8.29s,24609.0,0.0,Direct,36.7,15303.0,33150.0,24630.0,0.523,
Slam,4831,0.011,11.1,16.12s,130030.0,133349.0,Direct,11.1,75371.0,161629.0,130027.0,0.634,
Thunder Clap,2219,0.005,10.5,19.04s,63617.0,65306.0,Direct,10.5,40077.0,86671.0,63616.0,0.505,
Thunderous Roar,1636 (14278),0.4% (3.3%),3.6,93.78s,1175063.0,1208564.0,Direct,3.6 (49.9),86253.0,189735.0,134882.0,47.0% (47.0%),
    Thunderous Roar (_dot),12642,0.029,3.6,93.78s,1040186.0,0.0,Periodic,46.3,47916.0,103133.0,81906.0,0.616,0.19
Vicious Brand,19368,0.045,25.4,11.51s,230903.0,0.0,Periodic,126.9 (126.9),31195.0,62839.0,46207.0,47.4% (47.4%),42.3% (42.3%)
    Radiating Brand,0,0,51.9,2.16s,,,,,,,,,
Whirlwind,0 (12750),0.0% (2.9%),17.2,11.29s,221892.0,227943.0,,,,,,,
    Whirlwind (_1),4258,0.01,17.2,11.29s,74108.0,0.0,Direct,17.2,44939.0,96831.0,74107.0,0.562,
    Whirlwind (_2),4242,0.01,17.2,11.29s,73811.0,0.0,Direct,17.2,44813.0,96562.0,73811.0,0.56,
    Whirlwind (_3),4250,0.01,17.2,11.29s,73973.0,0.0,Direct,17.2,45134.0,96776.0,73974.0,0.558,
