DF4_Evoker_Devastation,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Azure Strike,994,0.002,3.4,55.32s,86473.0,82024.0,Direct,3.4,55244.0,127131.0,86468.0,0.434,
Broodkeeper's Blaze,6316,0.014,15.2,18.94s,124897.0,0.0,Periodic,41.2,32036.0,64071.0,46009.0,0.436,0.275
Disintegrate,159015 (201517),36.0% (45.6%),99.2,2.95s,609205.0,388296.0,Periodic,355.4 (408.6),85819.0,196859.0,134149.0,43.5% (43.5%),50.0% (50.0%)
    Scintillation,42502,0.096,0.0,0.00s,0.0,0.0,Direct,53.2,153500.0,352057.0,239641.0,0.434,
Dragonrage,0 (1421),0.0% (0.3%),3.0,122.08s,142981.0,134578.0,,,,,,,
    Pyre,1421,0.003,3.0,122.08s,142981.0,0.0,Direct,2.9,91492.0,210456.0,143377.0,0.436,
Nymue's Unraveling Spindle (essence_splice),14147,0.032,3.0,124.15s,1408162.0,471952.0,Periodic,17.8,164069.0,328009.0,235973.0,0.439,0.03
Eternity Surge,23877,0.054,14.7,20.66s,487024.0,340305.0,Direct,14.6,312693.0,719326.0,489953.0,0.436,
Fire Breath,56917,0.129,15.2,20.16s,1124123.0,889136.0,Direct,15.1,179081.0,407042.0,277900.0,0.433,
,,,,,,,Periodic,280.5,29292.0,67183.0,45825.0,0.436,0.955
Living Flame,50630,0.115,52.1,5.58s,291824.0,245077.0,Direct,53,183546.0,420818.0,286870.0,0.435,
Obsidian Shards,69979,0.159,358.3,0.84s,58571.0,0.0,Periodic,147.3,142430.0,0.0,142430.0,0,0.982
Shattering Star,7940,0.018,14.7,20.77s,162145.0,145796.0,Direct,14.7,103909.0,238855.0,162453.0,0.434,
Tindral's Fowl Fantasia,0 (7968),0.0% (1.8%),7.4,36.04s,321996.0,0.0,,,,,,,
    Denizen of the Flame,3905,0.009,14.8,16.98s,79022.0,0.0,Direct,14.8,54978.0,109978.0,79023.0,0.437,
    Denizen of the Flame (Final),4063,0.009,7.4,35.98s,165300.0,0.0,Direct,7.4,115561.0,230989.0,165298.0,0.431,
