DF4_Hunter_Marksmanship,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Aimed Shot,73246 (78471),19.3% (20.7%),61.4,4.85s,382976.0,283362.0,Direct,62.3 (311.4),187744.0,428352.0,352225.0,68.4% (68.4%),
    Wind Arrow (legacy_of_the_windrunners),5224,0.014,0.0,0.00s,0.0,0.0,Direct,249.1,3343.0,7639.0,6281.0,0.684,
Arcane Shot,30234,0.08,53.9,5.11s,168274.0,147136.0,Direct,53.8,108248.0,223535.0,168557.0,0.523,
Arctic Bola,2851,0.008,17.7,16.68s,48201.0,0.0,Direct,17.7,27833.0,63613.0,48387.0,0.574,
Auto Shot,5920,0.016,62.6,4.31s,28324.0,12493.0,Direct,62.5,18334.0,37569.0,28364.0,0.521,
Broodkeeper's Blaze,3582,0.009,7.2,37.85s,149406.0,0.0,Periodic,20.7,32982.0,70117.0,51871.0,0.509,0.138
Completely Safe Rocket Blast,1089,0.003,44.5,6.63s,7330.0,0.0,Direct,44.2,4692.0,9976.0,7392.0,0.511,
Death Chakram,16954,0.045,7.0,45.97s,728367.0,639869.0,Direct,48.4,61078.0,138892.0,104904.0,0.563,
Kill Shot,26116 (33223),6.9% (8.8%),20.1,15.07s,496252.0,439906.0,Direct,20.0 (68.1),198191.0,516865.0,390958.0,60.5% (60.5%),
    Razor Fragments,7107,0.019,16.9,17.75s,126109.0,0.0,Periodic,48.1,44437.0,0.0,44437.0,0,0.321
Master Marksman,44577,0.118,853.0,0.37s,15712.0,0.0,Periodic,149.3,89781.0,0.0,89781.0,0,0.995
Rapid Fire,102049,0.27,35.8,8.55s,856200.0,503377.0,Periodic,313.6,50561.0,120221.0,97623.0,0.676,0.179
Serpent Sting,13153 (23570),3.5% (6.2%),0.0,0.00s,0.0,0.0,Direct,62.2 (123.5),11954.0,28659.0,21707.0,58.4% (58.5%),
,,,,,,,Periodic,131.8 (123.5),11556.0,26144.0,19694.0,55.8% (55.8%),99.3% (99.3%)
    Latent Poison,10417,0.028,61.3,4.85s,50987.0,0.0,Direct,61.3,31073.0,65043.0,50987.0,0.586,
Steady Shot,4409,0.012,32.9,7.48s,40170.0,29913.0,Direct,32.9,26209.0,53545.0,40203.0,0.512,
Steel Trap,0 (6382),0.0% (1.7%),10.4,28.98s,184663.0,163035.0,,,,,,,
    Steel Trap (_impact),6382,0.017,0.0,0.00s,0.0,0.0,Periodic,134.2,8694.0,18956.0,14259.0,0.542,0.663
Tindral's Fowl Fantasia,0 (8800),0.0% (2.3%),7.3,36.93s,363567.0,0.0,,,,,,,
    Denizen of the Flame,4305,0.011,14.5,17.28s,89050.0,0.0,Direct,14.5,56560.0,120191.0,89047.0,0.511,
    Denizen of the Flame (Final),4495,0.012,7.2,36.88s,186924.0,0.0,Direct,7.2,118894.0,252697.0,186921.0,0.508,
Volley,16076,0.043,4.9,68.84s,976572.0,869751.0,Direct,190.7,13231.0,32591.0,25329.0,0.625,
