DF4_Mage_Fire,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Broodkeeper's Blaze,8080,0.021,18.0,16.13s,134554,0,Periodic,47.5,32910.0,71352.0,51005.0,0.471,0.317
Conflagration,4960,0.013,200.7,1.49s,7421,0,Periodic,242.2,2770.0,7013.0,6151.0,0.797,0.995
Conflagration Flare Up,762,0.002,44.8,6.55s,5107,0,Direct,44.8,2389.0,5838.0,5107.0,0.788,
Crystal Sickness,17834,0.047,13.5,21.43s,396101,0,Periodic,110.9 (110.9),48275.0,0.0,48275.0,0.0% (0.0%),37.0% (37.0%)
Dragon's Breath,1162,0.003,4.7,42.00s,73614,74235,Direct,4.7,0.0,73614.0,73614.0,1,
Fire Blast,30755,0.08,74.9,3.97s,123143,0,Direct,74.9,0.0,123143.0,123143.0,1,
Fireball,12027,0.031,23.1,12.64s,156375,125927,Direct,23.1,61822.0,177687.0,156557.0,0.818,
Ignite,68567,0.179,337.0,0.89s,61102,0,Periodic,298.7,68933.0,0.0,68933.0,0,0.996
Intensifying Flame,16121,0.042,298.7,1.00s,16207,0,Direct,298.7,16207.0,0.0,16207.0,0,
Mirror Image,0 (427),0.0% (0.1%),1.0,0.00s,126246,0,,,,,,,
    Frostbolt,3156  / 427,0.001,136.9,0.86s,922,1061,Direct,136.9,611.0,1270.0,922.0,0.472,
Phoenix Flames,0 (27882),0.0% (7.3%),45.1,6.67s,185948,193645,,,,,,,
    Phoenix Flames (_splash),27882,0.073,45.0,6.67s,186361,0,Direct,45,0.0,186361.0,186361.0,1,
Pyroblast,137334,0.359,177.1,1.68s,232826,215202,Direct,177.6,77123.0,248729.0,232158.0,0.903,
Roiling Shadowflame,13009,0.034,44.6,6.68s,87616,0,Direct,44.6,56571.0,122509.0,87617.0,0.471,
Scorch,2862,0.007,16.4,14.74s,52275,52981,Direct,16.4,8886.0,52973.0,52281.0,0.984,
Shifting Power,2134,0.006,4.3,70.24s,149377,56460,Periodic,17.1,23176.0,53486.0,37518.0,0.473,0.035
Solar Maelstrom,23469,0.061,2.8,129.84s,2466741,0,Direct,2.8,1616108.0,3438914.0,2475522.0,0.472,
Tindral's Fowl Fantasia,0 (10645),0.0% (2.8%),9.0,31.47s,357169,0,,,,,,,
    Denizen of the Flame,5206,0.014,17.9,14.97s,87474,0,Direct,17.9,56502.0,122446.0,87473.0,0.47,
    Denizen of the Flame (Final),5439,0.014,8.9,31.47s,183804,0,Direct,8.9,118722.0,257547.0,183797.0,0.469,
Web of Dreams,5121,0.013,3.0,120.39s,507160,0,Direct,3,327856.0,713362.0,509900.0,0.472,
