DF4_Mage_Frost,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Broodkeeper's Blaze,4674,0.011,12.0,23.85s,117314.0,0.0,Periodic,33.7,31387.0,64029.0,41653.0,0.314,0.225
Comet Storm,0 (15360),0.0% (3.7%),10.9,28.63s,421946.0,473987.0,,,,,,,
    Comet Storm (_projectile),15360,0.037,76.0,3.79s,60608.0,0.0,Direct,76,29822.0,62067.0,60608.0,0.955,
Crystal Sickness,18529,0.045,14.7,19.61s,379262.0,0.0,Periodic,119.3 (119.3),46630.0,0.0,46630.0,0.0% (0.0%),39.8% (39.8%)
Flurry,0 (32648),0.0% (8.0%),47.9,6.29s,204217.0,231625.0,,,,,,,
    Flurry (_bolt),28357,0.069,143.4,2.08s,59287.0,0.0,Direct,143.4,31778.0,68108.0,59287.0,0.757,
    (flurry_) Icicle,763,0.002,4.2,57.09s,54859.0,0.0,Direct,4.1,38400.0,91070.0,55063.0,0.316,
    Glacial Assault,3528,0.009,35.8,8.18s,29528.0,0.0,Direct,35.8,13972.0,29947.0,29528.0,0.974,
Frostbolt,17818 (18377),4.3% (4.5%),53.2,5.34s,103646.0,96499.0,Direct,54.0 (57.1),50538.0,120770.0,98935.0,68.9% (67.0%),
    (frostbolt_) Icicle,559,0.001,3.1,63.01s,53942.0,0.0,Direct,3.1,37186.0,88307.0,54154.0,0.332,
Frozen Orb,0 (6935),0.0% (1.7%),6.0,52.77s,347463.0,389640.0,,,,,,,
    Frozen Orb (_bolt),6935,0.017,140.8,1.95s,14771.0,0.0,Direct,140.8,8802.0,19236.0,14771.0,0.572,
Glacial Spike,170837,0.417,43.0,6.88s,1190430.0,755991.0,Direct,42.9 (42.9),521177.0,1279723.0,1193297.0,88.6% (88.6%),
    Glacial Blast,0,0,36.9,7.99s,,,,,,,,,
Ice Lance,66197 (67071),16.1% (16.4%),97.7,3.06s,205841.0,232249.0,Direct,97.5 (102.3),95643.0,206414.0,203554.0,97.4% (94.4%),
    (ice_lance_) Icicle,875,0.002,4.8,47.37s,54444.0,0.0,Direct,4.8,37648.0,89397.0,54679.0,0.329,
Ray of Frost,41875,0.102,6.1,52.75s,2064986.0,675394.0,Periodic,30.3,197237.0,424565.0,414842.0,0.957,0.058
Roiling Shadowflame,5647,0.014,47.4,6.27s,35755.0,0.0,Direct,47.4,26932.0,55017.0,35755.0,0.314,
Shifting Power,3039,0.007,4.8,65.58s,188035.0,74522.0,Periodic,19.3,23641.0,54124.0,47252.0,0.775,0.037
Tindral's Fowl Fantasia,0 (9420),0.0% (2.3%),9.7,28.52s,291592.0,0.0,,,,,,,
    Denizen of the Flame,4607,0.011,19.4,13.64s,71414.0,0.0,Direct,19.4,53815.0,109794.0,71414.0,0.314,
    Denizen of the Flame (Final),4813,0.012,9.6,28.51s,149925.0,0.0,Direct,9.6,113075.0,230704.0,149925.0,0.313,
Web of Dreams,4187,0.01,3.0,120.38s,416793.0,0.0,Direct,3,312296.0,637116.0,416808.0,0.322,
pet - water_elemental,22759 / 11411,,,,,,,,,,,,
Water Jet,6203,0.008,9.6,31.93s,96662.0,39504.0,Periodic,46,15036.0,31278.0,20167.0,0.316,0.062
Waterbolt,16556,0.02,99.8,2.78s,24805.0,20227.0,Direct,99.3,18602.0,38691.0,24939.0,0.315,
