DF4_Monk_Brewmaster,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Blackout Kick,21719 (30891),8.6% (12.2%),72.8,4.12s,127199.0,126739.0,Direct,72.8 (134.3),59398.0,121214.0,89422.0,48.6% (26.3%),
    Charred Passions (_bok),9172,0.036,0.0,0.00s,0.0,0.0,Direct,61.5,44748.0,0.0,44748.0,0,
Bonedust Brew (_dmg),14884,0.059,480.4,0.75s,9293.0,0.0,Direct,480.4,9293.0,0.0,9293.0,0,
Breath of Fire,4492 (6429),1.8% (2.5%),31.8,9.32s,60692.0,60472.0,Direct,31.8 (177.2),28219.0,57522.0,42394.0,48.4% (48.4%),
    Breath of Fire (_dot),1937,0.008,31.2,9.49s,18628.0,0.0,Periodic,145.4,2658.0,5422.0,4000.0,0.485,0.969
Broodkeeper's Blaze,6111,0.024,11.9,23.63s,153587.0,0.0,Periodic,33,36885.0,75254.0,55531.0,0.486,0.22
Charred Dreams (_dmg_2p),2572,0.01,177.2,1.65s,4355.0,0.0,Direct,177.2,4355.0,0.0,4355.0,0,
Charred Dreams (_dmg_4p),9911,0.039,480.7,0.68s,6185.0,0.0,Direct,480.7,6185.0,0.0,6185.0,0,
Chi Wave,0 (1158),0.0% (0.5%),7.1,37.85s,48718.0,58611.0,,,,,,,
    Chi Wave (_damage),1158,0.005,28.2,10.18s,12316.0,0.0,Direct,28.2,8168.0,16675.0,12316.0,0.488,
Corrosive Slime (coated_in_slime),13362,0.053,24.0,12.20s,167205.0,0.0,Direct,24,111025.0,226488.0,167206.0,0.487,
Elder Flame,0 (11897),0.0% (4.8%),0.0,0.00s,0.0,0.0,,,,,,,
"    Djaruun, Pillar of the Elder Flame (Wave)",11566,0.046,29.1,8.22s,120217.0,0.0,Direct,29.1,79799.0,162824.0,120218.0,0.487,
"    Djaruun, Pillar of the Elder Flame (Siphon)",331,0.001,2.5,150.36s,40330.0,0.0,Direct,2.5,26650.0,54394.0,40329.0,0.493,
Expel Harm (_damage),1480,0.006,10.8,21.83s,41313.0,0.0,Direct,10.8,41353.0,0.0,41353.0,0,
Exploding Keg,3561 (4858),1.4% (1.9%),4.8,64.47s,303543.0,302502.0,Direct,4.6 (27.3),154618.0,314833.0,233015.0,48.9% (48.7%),
    Exploding Keg (_proc),1296,0.005,0.0,0.00s,0.0,0.0,Direct,22.7,11383.0,23233.0,17155.0,0.487,
Keg Smash,5638,0.022,31.7,9.49s,53355.0,53163.0,Direct,31.7,35471.0,72330.0,53380.0,0.486,
Manic Grieftorch,24811,0.097,26.7,9.38s,275036.0,0.0,Direct,26.7,182377.0,372327.0,275033.0,0.488,
melee_main_hand,10511,0.042,106.3,3.39s,29651.0,8983.0,Direct,106.3,19709.0,40210.0,29651.0,0.485,
Resonant Fists,4218,0.017,90.1,3.28s,14042.0,0.0,Direct,90.1,9331.0,19024.0,14042.0,0.486,
Rising Sun Kick,19343,0.077,30.6,9.79s,189432.0,188750.0,Direct,30.6,125882.0,256709.0,189431.0,0.486,
Rushing Jade Wind,4681,0.019,24.8,11.73s,56747.0,56543.0,Direct,327.6,2852.0,5817.0,4292.0,0.486,
Shadowflame Wreathe,1567,0.006,11.9,23.71s,39445.0,0.0,Periodic,113.2,4153.0,0.0,4153.0,0,0.377
Smolderon's Delusions of Grandeur,0 (7071),0.0% (2.8%),5.8,43.93s,363665.0,0.0,,,,,,,
    Blazing Rage,7071,0.028,59.5,3.80s,35653.0,0.0,Direct,59.5,23688.0,48331.0,35653.0,0.486,
Spiteful Stormbolt,19321,0.077,17.0,17.48s,341597.0,0.0,Periodic,118.6,48982.0,0.0,48982.0,0,0.169
Tiger Palm,36933 (39565),14.6% (15.7%),67.4,4.37s,175979.0,175343.0,Direct,67.4 (505.0),109008.0,222654.0,164269.0,48.6% (48.6%),
    Eye of the Tiger (_damage),2631,0.01,67.4,4.37s,11709.0,0.0,Periodic,145.9,3595.0,7335.0,5412.0,0.486,0.972
Weapons of Order,0 (4646),0.0% (1.8%),3.1,116.54s,450076.0,501805.0,,,,,,,
    Chi Surge,4646,0.018,0.0,0.00s,0.0,0.0,Periodic,19.1,47934.0,98071.0,72290.0,0.486,0.08
pet - white_tiger_statue,16318 / 4340,,,,,,,,,,,,
Claw of the White Tiger,16318,0.017,40.2,6.80s,32436.0,0.0,Direct,40.2,21253.0,44146.0,32435.0,0.488,
pet - invoke_niuzao_the_black_ox,23177 / 3424,,,,,,,,,,,,
melee_main_hand,19733,0.012,25.6,9.32s,34253.0,20780.0,Direct,25.6,22488.0,46796.0,34253.0,0.484,
Stomp,3443,0.002,9.1,28.53s,16911.0,16844.0,Direct,9.1,11106.0,23061.0,16911.0,0.486,
