DF4_Paladin_Protection,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Avenger's Shield,21524,0.081,50.7,5.98s,127153.0,136505.0,Direct,50.7,82407.0,171800.0,127201.0,0.501,
Broodkeeper's Blaze,7608,0.029,16.4,17.61s,139154.0,0.0,Periodic,44.6,33899.0,67887.0,51191.0,0.509,0.297
Consecration,0 (6218),0.0% (2.3%),19.1,16.03s,97704.0,108362.0,,,,,,,
    Consecration (_tick),6218,0.023,0.0,0.00s,0.0,0.0,Periodic,416.2,2898.0,6022.0,4477.0,0.505,0
Divine Toll,0 (9654),0.0% (3.7%),5.9,55.30s,492628.0,524837.0,,,,,,,
    Avenger's Shield (_divine_toll),2416,0.009,5.9,55.30s,123380.0,0.0,Direct,5.9,79076.0,164996.0,123444.0,0.516,
    Avenger's Shield (_divine_resonance),7238,0.027,17.1,16.98s,126650.0,0.0,Direct,17.1,80731.0,170467.0,126704.0,0.512,
Echoed Flare,23748 (24916),9.0% (9.5%),17.7,16.35s,423916.0,0.0,Direct,17.7 (22.6),268210.0,533924.0,404114.0,51.1% (52.4%),
    Anvil Strike,1168,0.004,4.9,67.77s,70886.0,0.0,Direct,4.9,45135.0,90382.0,70887.0,0.569,
Eye of Tyr,311,0.001,2.7,79.25s,34735.0,35603.0,Direct,2.7,25005.0,50044.0,34734.0,0.389,
Hammer of the Righteous,10458,0.04,60.4,4.75s,51931.0,54503.0,Direct,60.4 (60.4),34036.0,70723.0,51931.0,48.8% (48.8%),
    Hammer of the Righteous (_aoe),0,0,60.3,4.75s,,,,,,,,,
Hammer of Wrath,31218,0.118,53.0,5.71s,176300.0,191184.0,Direct,53,111184.0,226220.0,176397.0,0.567,
Holy Shield,724,0.003,29.7,9.83s,7310.0,0.0,Direct,29.7,4740.0,9880.0,7313.0,0.501,
Hungering Shadowflame,10064,0.038,17.9,16.10s,168577.0,0.0,Direct,17.9,104424.0,229908.0,168573.0,0.511,
Judgment,47298,0.179,118.8,2.52s,119333.0,127015.0,Direct,118.7,77125.0,160233.0,119388.0,0.509,
melee,15537 (27005),5.9% (10.2%),228.3,1.57s,35447.0,22525.0,Direct,228.3 (456.6),13160.0,27337.0,20393.0,51.0% (51.0%),
    Seal of the Crusader,11468,0.043,228.3,1.57s,15054.0,0.0,Direct,228.3,9719.0,20186.0,15054.0,0.51,
Roiling Shadowflame,12994,0.049,44.3,6.70s,88049.0,0.0,Direct,44.3,58292.0,116512.0,88050.0,0.511,
Shield of the Righteous,19455,0.073,110.6,2.71s,52684.0,0.0,Direct,110.6,34164.0,69100.0,52684.0,0.53,
Smolderon's Delusions of Grandeur,0 (9166),0.0% (3.5%),8.8,31.00s,312491.0,0.0,,,,,,,
    Blazing Rage,9166,0.035,83.8,3.03s,32807.0,0.0,Direct,83.8,21754.0,43551.0,32807.0,0.507,
Tyr's Enforcer,2595,0.01,73.7,4.08s,10551.0,0.0,Direct,73.7,6836.0,14237.0,10551.0,0.502,
Vicious Brand,23200,0.088,26.8,10.94s,261937.0,0.0,Periodic,132.6 (132.6),36213.0,69034.0,52894.0,50.8% (50.8%),44.2% (44.2%)
