DF4_Priest_Shadow,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Broodkeeper's Blaze,1803,0.005,4.8,51.87s,112966.0,0.0,Periodic,13.8,30159.0,60327.0,39243.0,0.301,0.092
Devouring Plague,98608,0.252,45.8,6.56s,644654.0,639381.0,Direct,45.8,204188.0,414439.0,275102.0,0.337,
,,,,,,,Periodic,147.6,86264.0,175434.0,114816.0,0.32,0.99
Hungering Shadowflame,7018,0.018,16.3,17.71s,129088.0,0.0,Direct,16.3,99673.0,198084.0,129086.0,0.299,
Idol of C'Thun,0 (17361),0.0% (4.4%),0.0,0.00s,0.0,0.0,,,,,,,
    Mind Flay,23305  / 17361,0.044,46.6,6.73s,111728.0,14930.0,Periodic,348.9,11325.0,22651.0,14930.0,0.318,1.163
Mind Blast,77261,0.198,71.6,4.17s,323519.0,319613.0,Direct,71.6,172490.0,403290.0,323521.0,0.654,
Mind Spike,23168,0.059,80.2,3.53s,86709.0,84148.0,Direct,80.2,56245.0,135516.0,86708.0,0.384,
Mind Spike: Insanity,24305,0.062,22.2,13.31s,327829.0,322794.0,Direct,22.2,208448.0,505740.0,327820.0,0.402,
Mindgames,7736,0.02,9.4,32.25s,246671.0,241208.0,Direct,9.4 (9.4),186880.0,377239.0,246666.0,31.4% (31.4%),
Shadow Weaving,1307,0.003,34.5,6.07s,11205.0,0.0,Direct,34.5,11205.0,0.0,11205.0,0,
Shadow Word: Death,24130,0.062,21.4,13.64s,337854.0,326553.0,Direct,21.4,217384.0,525772.0,337857.0,0.391,
Shadow Word: Pain,11431,0.029,4.0,64.72s,852037.0,0.0,Periodic,222.3,11683.0,23364.0,15418.0,0.32,0.997
Shadowy Apparitions,0 (37635),0.0% (9.6%),117.4,2.54s,96150.0,0.0,,,,,,,
    Shadowy Apparition,37635,0.096,116.0,2.54s,97354.0,0.0,Direct,116,97354.0,0.0,97354.0,0,
Tindral's Fowl Fantasia,0 (7433),0.0% (1.9%),8.1,33.84s,274821.0,0.0,,,,,,,
    Denizen of the Flame,3634,0.009,16.2,16.02s,67287.0,0.0,Direct,16.2,51722.0,103463.0,67286.0,0.301,
    Denizen of the Flame (Final),3799,0.01,8.1,33.81s,141448.0,0.0,Direct,8.1,108680.0,217412.0,141450.0,0.301,
Vampiric Touch,13915,0.036,4.0,64.72s,1037237.0,989002.0,Periodic,148.1,21335.0,42663.0,28166.0,0.32,0.996
Void Torrent,36272,0.093,10.0,31.27s,1091474.0,342849.0,Periodic,63,128537.0,258880.0,172667.0,0.339,0.099
pet - shadowfiend,18288 / 1854,,,,,,,,,,,,
melee,18288,0.005,34.5,6.07s,15890.0,18830.0,Direct,34.5,12178.0,24367.0,15891.0,0.305,
