DF4_Rogue_Outlaw,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%,Unnamed: 14
Ambush,30743 (49579),7.7% (12.4%),92.1,3.29s,161514,198950,Direct,92.1 (149.0),50041.0,111793.0,100154.0,81.2% (81.1%),0.0,
    Ambush (_hidden_opportunity),10842,0.027,0.0,0.00s,0,0,Direct,32.2,50443.0,112810.0,101028.0,0.811,0.0,
    Ambush (_hidden_opportunity_audacity),7994,0.02,0.0,0.00s,0,0,Direct,24.8,48299.0,108088.0,96809.0,0.811,0.0,
auto_attack_mh,25107,0.063,437.7,0.80s,17197,22493,Direct,437.7,11191.0,22825.0,17197.0,0.674,0.164,
auto_attack_oh,12546,0.031,437.0,0.80s,8606,11242,Direct,437,5595.0,11413.0,8606.0,0.675,0.163,
Between the Eyes,78458 (110161),19.6% (27.6%),107.7,2.77s,306843,378247,Direct,107.7 (206.2),59403.0,242866.0,218541.0,86.7% (81.8%),0.0,
    Dispatch (_crackshot),31704,0.079,0.0,0.00s,0,0,Direct,98.5,53928.0,109791.0,96552.0,0.763,0.0,
Blade Flurry,0 (124),0.0% (0.0%),2.5,88.19s,14845,30581,,,,,,,,
    Blade Flurry (_instant_attack),124,0,1.5,88.19s,24562,0,Direct,1.5,13726.0,27979.0,24564.0,0.76,0.0,
Blade Rush,310,0.001,1.5,57.71s,62192,62000,Direct,1.5,34344.0,69966.0,62193.0,0.782,0.0,
Broodkeeper's Blaze,6883,0.017,11.9,23.66s,173880,0,Periodic,32.8,36983.0,75456.0,62950.0,0.675,0.0,0.219
Dispatch,27291,0.068,67.9,4.06s,120727,147290,Direct,67.9,67416.0,137229.0,120728.0,0.764,0.0,
Forgestorm Ignited (_damage),12839,0.032,33.2,6.53s,116090,0,Direct,33.2,68195.0,139082.0,116091.0,0.676,0.0,
Ghostly Strike,6260,0.016,19.5,15.70s,96572,0,Direct,19.5,48442.0,108454.0,96573.0,0.802,0.0,
Igira's Cruel Nightmare,0 (9872),0.0% (2.5%),7.9,34.19s,376201,0,,,,,,,,
    Flaying Torment,9872,0.025,7.9,34.19s,376201,0,Periodic,22.2,133352.0,0.0,133352.0,0,0.0,0.148
Instant Poison,5742,0.014,0.0,0.00s,0,0,Direct,398.6,2413.0,4911.0,4320.0,0.763,0.0,
Launched Thorns,16174,0.04,25.6,11.43s,189578,0,Direct,25.6,111413.0,227273.0,189655.0,0.675,0.0,
Main Gauche,11948,0.03,0.0,0.00s,0,0,Direct,222.3,9007.0,18327.0,16120.0,0.763,0.0,
Manic Grieftorch,27450,0.068,26.3,9.33s,311093,0,Direct,26.3,182833.0,373035.0,311091.0,0.674,0.0,
Pistol Shot,10750 (32207),2.7% (8.1%),55.3,5.24s,174792,214788,Direct,55.3 (165.8),29030.0,64991.0,58342.0,81.5% (81.5%),0.0,
    Pistol Shot (_fan_the_hammer),21457,0.054,0.0,0.00s,0,0,Direct,110.5,29005.0,64919.0,58257.0,0.815,0.0,
Sinister Strike,3239 (4981),0.8% (1.2%),23.7,10.72s,63278,77252,Direct,23.7 (36.4),20519.0,45775.0,41150.0,81.7% (81.7%),0.0,
    Sinister Strike (_extra_attack),1742,0.004,0.0,0.00s,0,0,Direct,12.7,20484.0,45693.0,41056.0,0.816,0.0,
Thorn Spirit,10462 (15883),2.6% (4.0%),7.9,34.33s,606467,0,Periodic,32.9 (79.4),56083.0,114423.0,95373.0,67.3% (67.3%),0.0,32.9% (32.9%)
    Thorn Burst,5421,0.014,46.5,5.40s,35033,0,Direct,46.5,20589.0,42002.0,35033.0,0.675,0.0,
Vicious Brand,24254,0.061,24.2,12.08s,303961,0,Periodic,120.2 (120.2),35916.0,73335.0,61131.0,67.4% (67.4%),0.0,40.1% (40.1%)
