DF4_Rogue_Subtlety,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%,Unnamed: 14
auto_attack_mh,13228,0.035,348.1,1.00s,11390,11448,Direct,348.1,9095.0,18533.0,11390.0,0.401,0.163,
auto_attack_oh,6520,0.017,347.5,1.00s,5624,5648,Direct,347.5,4492.0,9156.0,5624.0,0.4,0.164,
Backstab,8216 (9458),2.2% (2.5%),73.7,3.93s,38514,38375,Direct,73.7 (84.8),19343.0,43136.0,33458.0,59.3% (59.3%),0.0,
    Backstab (_weaponmaster),1242,0.003,0.0,0.00s,0,0,Direct,11.1,19475.0,43458.0,33713.0,0.594,0.0,
Broodkeeper's Blaze,3010,0.008,6.5,40.67s,139402,0,Periodic,18.7,34471.0,68961.0,48286.0,0.401,0.0,0.125
Entropic Embrace,6044,0.016,597.9,0.89s,3013,0,Periodic,597.9,3013.0,0.0,3013.0,0,0.0,0
Eviscerate,72531 (127237),19.4% (34.0%),90.0,3.29s,423951,422418,Direct,90.0 (209.2),169246.0,345775.0,241662.0,41.0% (35.2%),0.0,
    Eviscerate (_bonus),31998,0.086,89.7,3.30s,106882,0,Direct,89.7,75032.0,152880.0,106881.0,0.409,0.0,
    Shadow Eviscerate,22708,0.061,0.0,0.00s,0,0,Direct,29.5,230824.0,0.0,230824.0,0,0.0,
Flagellation,466 (6862),0.1% (1.8%),4.8,67.19s,428499,426989,Direct,4.8 (35.8),20820.0,42382.0,29135.0,38.6% (42.0%),0.0,
    Flagellation (_damage),6396,0.017,0.0,0.00s,0,0,Direct,31,43051.0,86502.0,61524.0,0.425,0.0,
Igira's Cruel Nightmare,0 (7731),0.0% (2.1%),6.5,39.99s,354214,0,,,,,,,,
    Flaying Torment,7731,0.021,6.5,39.99s,354214,0,Periodic,18.7,124258.0,0.0,124258.0,0,0.0,0.124
Instant Poison,3358,0.009,0.0,0.00s,0,0,Direct,276.7,2570.0,5227.0,3639.0,0.402,0.0,
Roiling Shadowflame,4580,0.012,33.3,8.86s,41279,0,Direct,33.3,29511.0,58977.0,41278.0,0.399,0.0,
Rupture,29638 (44977),7.9% (12.0%),13.9,21.16s,969470,966002,Periodic,177.2 (211.2),35177.0,72468.0,50105.0,40.0% (40.1%),0.0,98.5% (121.2%)
    Shadow Rupture,15340,0.041,0.0,0.00s,0,0,Periodic,34,96205.0,192571.0,134978.0,0.402,0.0,0.227
Secret Technique,0 (76233),0.0% (20.4%),14.7,20.93s,1557320,1551732,,,,,,,,
    Secret Technique (_player),16503,0.044,0.0,0.00s,0,0,Direct,14.7,142274.0,394490.0,337135.0,0.773,0.0,
    Secret Technique (_clones),59729,0.159,0.0,0.00s,0,0,Direct,29.2,260823.0,714226.0,611692.0,0.774,0.0,
Shadow Blades,0 (22530),0.0% (6.0%),3.7,94.36s,1839815,0,,,,,,,,
    Shadow Blades (_attack),22530,0.06,404.9,1.01s,16680,0,Periodic,404.9,16680.0,0.0,16680.0,0,0.0,0
Shadowstrike,20028 (23070),5.3% (6.2%),53.9,5.69s,128097,127633,Direct,53.9 (62.0),71252.0,157929.0,111213.0,46.1% (46.1%),0.0,
    Shadowstrike (_weaponmaster),3041,0.008,0.0,0.00s,0,0,Direct,8.1,72493.0,160214.0,112848.0,0.46,0.0,
Spiteful Stormbolt,16574,0.044,16.2,18.60s,307944,0,Periodic,112.7,44179.0,0.0,44179.0,0,0.0,0.161
Timestrike,2920,0.008,182.9,1.75s,4784,0,Direct,182.9,4783.0,0.0,4783.0,0,0.0,
