DF4_Warlock_Demonology,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Broodkeeper's Blaze,6226,0.016,13.6,20.94s,137266.0,0.0,Periodic,37.9,34237.0,69813.0,49208.0,0.421,0.253
Demonbolt,35389,0.093,76.4,3.90s,139052.0,120861.0,Direct,76.1,97098.0,197950.0,139606.0,0.421,
Doom Brand,22099,0.058,0.0,0.00s,0.0,0.0,Direct,21.6,212866.0,434089.0,306671.0,0.424,
Nymue's Unraveling Spindle (essence_splice),13984,0.037,2.7,141.61s,1527493.0,512441.0,Periodic,16.4,178452.0,363944.0,256223.0,0.419,0.027
Fel Barrage,8041,0.021,0.0,0.00s,0.0,0.0,Direct,78,21505.0,43831.0,30939.0,0.423,
Hand of Gul'dan,0 (20520),0.0% (5.4%),79.7,3.72s,77256.0,67504.0,,,,,,,
    Hand of Gul'dan (_impact),20520,0.054,0.0,0.00s,0.0,0.0,Direct,91.5,46760.0,95328.0,67252.0,0.422,
Shadow Bolt,16115,0.042,45.1,6.40s,106998.0,71383.0,Direct,46,73014.0,148731.0,104984.0,0.422,
Solar Maelstrom,24048,0.062,3.0,121.98s,2401397.0,0.0,Direct,3,1678760.0,3424018.0,2412558.0,0.42,
Tindral's Fowl Fantasia,0 (8235),0.0% (2.2%),7.2,37.30s,345232.0,0.0,,,,,,,
    Denizen of the Flame,4030,0.011,14.3,17.55s,84606.0,0.0,Direct,14.3,58770.0,119825.0,84603.0,0.423,
    Denizen of the Flame (Final),4206,0.011,7.1,37.25s,177530.0,0.0,Direct,7.1,123499.0,251756.0,177523.0,0.421,
Web of Dreams,4886,0.013,3.0,121.17s,487926.0,0.0,Direct,3,338592.0,690234.0,490808.0,0.433,
pet - felguard,74435 / 74435,,,,,,,,,,,,
Felstorm,5290,0.014,10.4,30.21s,152544.0,40054.0,Periodic,62,16371.0,34000.0,25583.0,0.523,0.132
Felstorm (_demonic_strength),10541,0.028,5.2,61.45s,613786.0,164634.0,Periodic,30.8,65970.0,137097.0,102992.0,0.521,0.064
Immutable Hatred,14728,0.039,0.0,0.00s,0.0,0.0,Direct,76.4,37052.0,76963.0,57874.0,0.522,
Legion Strike,12113,0.032,57.6,5.16s,63023.0,62795.0,Direct,57.6,40362.0,83738.0,63024.0,0.522,
melee,19498,0.051,160.4,1.85s,36435.0,25465.0,Direct,160.4 (160.4),23318.0,48441.0,36436.0,52.2% (52.2%),
Soul Strike,12265,0.032,28.3,10.78s,130230.0,0.0,Direct,28.3 (28.3),83327.0,173310.0,130232.0,52.1% (52.1%),
pet - dreadstalker,60575 / 39520,,,,,,,,,,,,
Dreadbite,28501,0.049,54.2,7.54s,102821.0,0.0,Direct,54.2,70660.0,146949.0,102820.0,0.422,
melee,32074,0.055,272.5,2.17s,23030.0,17192.0,Direct,272.5,15831.0,32909.0,23030.0,0.422,
pet - grimoire_felguard,39195 / 10927,,,,,,,,,,,,
Felstorm,3746,0.003,2.8,144.88s,113137.0,31293.0,Periodic,16.6,12905.0,26838.0,18861.0,0.427,0.033
Legion Strike,15146,0.011,23.1,12.54s,54629.0,54630.0,Direct,23.1,37577.0,78033.0,54629.0,0.421,
melee,20304,0.015,51.6,5.57s,32839.0,24665.0,Direct,51.6,22601.0,46984.0,32839.0,0.42,
pet - wild_imp,69692 / 68394,,,,,,,,,,,,
Fel Firebolt,69692,0.179,2168.8,0.14s,9457.0,6244.0,Direct,2161.6,5872.0,12194.0,9488.0,0.572,
pet - demonic_tyrant,37388 / 6263,,,,,,,,,,,,
Demonfire,37388,0.016,33.2,8.04s,56396.0,39182.0,Direct,33.2,38854.0,80733.0,56397.0,0.419,
pet - doomfiend,165404 / 22408,,,,,,,,,,,,
Doom Bolt Volley,165404,0.059,26.5,9.28s,253527.0,165827.0,Direct,26.4,175093.0,363873.0,254893.0,0.423,
