DF4_Warlock_Destruction,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Broodkeeper's Blaze,6894,0.017,15.8,18.24s,130499.0,0.0,Periodic,43,33627.0,68641.0,48119.0,0.414,0.286
Chaos Bolt,136761 (165078),33.2% (40.1%),58.3,5.10s,848423.0,553719.0,Direct,58.1 (115.9),0.0,705553.0,705553.0,100.0% (71.2%),
    Internal Combustion,28316,0.069,0.0,0.00s,0.0,0.0,Direct,57.8,97858.0,213354.0,146744.0,0.423,
Conflagrate,30961,0.075,40.0,7.62s,232192.0,220735.0,Direct,40,102491.0,288573.0,232195.0,0.697,
Nymue's Unraveling Spindle (essence_splice),14141,0.034,3.0,121.33s,1419886.0,475598.0,Periodic,17.7,168820.0,344811.0,237770.0,0.392,0.029
Fel Barrage,15884,0.039,0.0,0.00s,0.0,0.0,Direct,83.6,38462.0,83451.0,57000.0,0.412,
Immolate (_direct),13162 (47513),3.2% (11.5%),33.5,8.81s,424885.0,404819.0,Direct,33.5 (174.5),79111.0,171743.0,117740.0,41.7% (41.7%),
    Immolate,34350,0.083,0.0,0.00s,0.0,0.0,Periodic,141,49246.0,106869.0,73047.0,0.413,0.98
Incinerate,74856,0.182,83.6,3.47s,268743.0,191436.0,Direct,84.1 (84.1),180097.0,391636.0,267143.0,41.1% (41.1%),
Solar Maelstrom,21944,0.053,2.8,122.52s,2385343.0,0.0,Direct,2.8,1661328.0,3390104.0,2396045.0,0.425,
Summon Infernal,0 (293),0.0% (0.1%),3.0,121.29s,29424.0,28411.0,,,,,,,
    Infernal Awakening,293,0.001,0.0,0.00s,0.0,0.0,Direct,2.9,20112.0,43601.0,29504.0,0.4,
Tindral's Fowl Fantasia,0 (8770),0.0% (2.1%),7.8,34.55s,336680.0,0.0,,,,,,,
    Denizen of the Flame,4289,0.01,15.6,16.37s,82454.0,0.0,Direct,15.6,57606.0,117649.0,82455.0,0.414,
    Denizen of the Flame (Final),4481,0.011,7.8,34.55s,173164.0,0.0,Direct,7.8,121421.0,247850.0,173162.0,0.409,
Web of Dreams,4593,0.011,3.0,120.43s,454851.0,0.0,Direct,3,325121.0,664199.0,457808.0,0.391,
pet - imp,11511 / 11511,,,,,,,,,,,,
Firebolt,11511,0.028,111.2,2.70s,31023.0,26705.0,Direct,110.6,21602.0,45014.0,31200.0,0.41,
pet - infernal,32538 / 9202,,,,,,,,,,,,
Immolation,22389,0.015,59.2,4.39s,31950.0,0.0,Direct,59.2,21946.0,45711.0,31950.0,0.421,
melee,10149,0.007,63.4,4.15s,13520.0,10958.0,Direct,63.4,9296.0,19365.0,13520.0,0.42,
