DF4_Warrior_Protection,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
auto_attack_mh,21284 (38486),7.8% (14.1%),306.1,1.18s,37690,32227,Direct,306.1 (612.3),14526.0,29635.0,20844.0,41.8% (41.8%),
    Devastator,17202,0.063,306.1,1.18s,16847,0,Direct,306.1,11737.0,23946.0,16847.0,0.419,
Broodkeeper's Blaze,6994,0.026,17.0,16.90s,123090,0,Periodic,46.1,31714.0,64702.0,45528.0,0.419,0.307
Charge (_impact),28,0,1.0,0.00s,8240,0,Direct,1,5672.0,11571.0,8241.0,0.435,
Deep Wounds,6101,0.022,368.3,0.95s,4967,0,Periodic,108.5,11746.0,23967.0,16864.0,0.419,0.654
Echoed Flare,20002 (21105),7.3% (7.7%),16.2,17.84s,391861,0,Direct,16.2 (21.7),258678.0,528008.0,371525.0,41.9% (41.9%),
    Anvil Strike,1102,0.004,5.4,60.80s,60671,0,Direct,5.4,42222.0,86162.0,60673.0,0.42,
Execute (_damage),11639,0.043,23.4,12.50s,149155,0,Direct,23.4 (23.4),102428.0,214322.0,149152.0,41.8% (41.8%),
Fervid Bite,45169,0.165,66.4,4.47s,203810,0,Direct,66.4,141909.0,290151.0,203811.0,0.418,
Hungering Shadowflame,9123,0.033,18.4,15.72s,148476,0,Direct,18.4,102841.0,212213.0,148484.0,0.417,
Ravager,0 (4737),0.0% (1.7%),3.7,90.26s,378958,424817,,,,,,,
    Ravager (_tick),4737,0.017,0.0,0.00s,0,0,Direct,22.7,43430.0,88679.0,62434.0,0.42,
Rend,8468,0.031,98.4,3.02s,25814,0,Periodic,99.4,17808.0,36306.0,25536.0,0.418,0.601
Revenge,5657,0.021,62.1,4.64s,27309,29961,Direct,62.1,19019.0,38785.0,27309.0,0.419,
Roiling Shadowflame,11857,0.043,45.4,6.52s,78246,0,Direct,45.4,54456.0,111247.0,78246.0,0.419,
Shield Charge,0 (6517),0.0% (2.4%),7.0,45.59s,278596,304207,,,,,,,
    Shield Charge (_main),6517,0.024,7.0,45.59s,278596,0,Direct,7,156730.0,352654.0,278600.0,0.622,
Shield Slam,45612,0.167,111.4,2.68s,122794,134877,Direct,111.4,83032.0,178040.0,122792.0,0.419,
Sidearm,2991,0.011,61.2,5.02s,14661,0,Direct,61.1,10221.0,20862.0,14673.0,0.418,
Smolderon's Delusions of Grandeur,0 (9035),0.0% (3.3%),9.0,30.35s,300498,0,,,,,,,
    Blazing Rage,9035,0.033,92.9,2.75s,29199,0,Direct,92.9,20357.0,41530.0,29199.0,0.418,
Thunder Clap,12531,0.046,98.4,3.02s,38193,41997,Direct,98.4,26592.0,54301.0,38194.0,0.419,
Thunderous Roar,3134 (5710),1.1% (2.1%),8.6,36.23s,197893,220166,Direct,8.6 (23.9),75774.0,154829.0,108623.0,41.6% (41.6%),
    Thunderous Roar (_dot),2575,0.009,8.6,36.23s,89269,0,Periodic,15.2,35391.0,72149.0,50670.0,0.416,0.061
Vicious Brand,21798,0.08,27.8,10.56s,237069,0,Periodic,135.7 (135.7),33867.0,69024.0,48581.0,41.9% (41.9%),45.2% (45.2%)
